TyreLife,compound_encoded,lap_time_delta,deg_rate,GapToAhead,GapToBehind,laps_remaining,fuel_adjusted_laptime,pit_window_open,safety_car_active,TrackTemp,Position,pit_decision
18.0,0,1.4519999999999982,0.507999999999984,0.615,0.539,16.0,91.28399999999999,0,0,32.4,11,0
19.0,0,0.3780000000000001,-0.26200000000000595,2.499,2.18,15.0,90.24,0,0,32.4,10,0
20.0,0,0.4210000000000065,-0.5155000000000015,2.277,2.863,14.0,90.313,0,0,32.4,10,0
21.0,0,0.3020000000000067,-0.03800000000000747,2.106,2.106,13.0,90.224,1,0,32.3,10,0
22.0,0,0.4759999999999991,0.027499999999990116,1.951,1.195,12.0,90.428,1,0,32.1,10,0
23.0,0,0.32200000000000273,0.00999999999999744,1.65,0.641,11.0,90.304,1,0,32.0,10,0
24.0,0,1.3269999999999982,0.42550000000000227,1.306,3.068,10.0,91.339,1,0,32.1,11,0
25.0,0,1.0619999999999976,0.36999999999999234,1.12,1.919,9.0,91.104,1,0,32.3,11,0
26.0,0,1.125,-0.10100000000000446,0.668,1.242,8.0,91.197,1,0,31.9,11,0
27.0,0,1.070999999999998,0.0044999999999999684,0.802,0.925,7.0,91.173,1,0,32.0,11,0
28.0,0,0.804000000000002,-0.1605000000000034,0.819,0.833,6.0,90.93599999999999,1,0,32.0,11,0
29.0,0,0.7439999999999998,-0.16350000000001094,0.885,1.095,5.0,90.90599999999999,1,0,32.1,11,0
30.0,0,0.6189999999999998,-0.09250000000001093,0.729,1.743,4.0,90.81099999999999,1,0,31.9,11,0
31.0,0,0.9920000000000044,0.12399999999999929,0.815,2.577,3.0,91.214,1,0,31.9,11,0
32.0,0,1.1730000000000018,0.27700000000000374,1.022,3.132,2.0,91.425,1,0,31.9,10,0
33.0,0,0.9150000000000063,-0.038500000000006314,1.135,3.544,1.0,91.197,1,0,32.0,10,0
34.0,0,0.03900000000000148,-0.5670000000000082,0.63,5.473,0.0,90.351,1,0,32.0,10,0
1.0,1,0.0,0.0,0.458,0.48,57.0,100.798,0,1,34.8,19,0
2.0,1,0.0,0.0,0.574,0.364,56.0,93.07199999999999,0,0,34.9,19,0
3.0,1,0.0,-4.644999999999995,0.762,0.576,55.0,91.568,0,0,34.4,19,0
4.0,1,0.0,-1.0055000000000085,0.991,0.497,54.0,91.121,0,0,34.3,19,0
5.0,1,0.15399999999999636,-0.16150000000000292,1.249,0.475,53.0,91.30499999999999,0,0,34.0,19,0
6.0,1,0.35200000000000387,0.17600000000000696,0.987,0.467,52.0,91.533,0,0,34.0,19,0
